Familia profesional,Nivel Ciclo Formativo,Ciclo Formativo,Unidades de competencia acreditadas,Módulos profesionales convalidables
Electricidad y Electrónica,CFGS,Técnico Superior en Mantenimiento Electrónico,"UC1824_3: Mantener equipos de telecomunicación.
UC1572_3 Gestionar y supervisar los procesos de mantenimiento de estaciones base de telefonía.
UC1574_3 Gestionar y supervisar los procesos de mantenimiento de los sistemas de telecomunicación de red telefónica.","1053. Mantenimiento de equipos de radiocomunicaciones.
1054. Mantenimiento de equipos de voz y datos."
Electricidad y Electrónica,CFGS,Técnico Superior en Mantenimiento Electrónico,UC1825_3: Mantener equipos electrónicos de potencia y control.,1055. Mantenimiento de equipos de electrónica industrial.
Electricidad y Electrónica,CFGS,Técnico Superior en Mantenimiento Electrónico,UC1826_3: Mantener equipos electrónicos de imagen y sonido.,"1056. Mantenimiento de equipos de audio.
1057. Mantenimiento de equipos de vídeo."
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas Electrotécnicos y Automatizados,"UC1180_3: Organizar y gestionar los procesos de montaje de las instalaciones eléctricas en el entorno de edificios y con fines especiales.
UC1182_3 Organizar y gestionar los procesos de mantenimiento de las instalaciones eléctricas en el entorno de edificios y con fines especiales.
UC1275_3: Planificar y gestionar el montaje y mantenimiento de redes eléctricas de baja tensión y alumbrado exterior.",0602. Gestión del montaje y del mantenimiento de instalaciones eléctricas.
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas Electrotécnicos y Automatizados,"UC1181_3 Supervisar los procesos de montaje de las instalaciones eléctricas en el entorno de edificios y con fines especiales.
UC1183_3 Supervisar los procesos de mantenimiento de las instalaciones eléctricas en el entorno de edificios y con fines especiales.
UC1276_3: Supervisa y realiza el montaje de redes eléctricas de baja tensión y alumbrado exterior.
UC1277_3: Supervisa y realiza el mantenimiento de redes eléctricas de baja tensión y alumbrado exterior.","0518. Técnicas y procesos en instalaciones eléctricas.
0521. Técnicas y procesos en instalaciones domóticas y automáticas."
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas Electrotécnicos y Automatizados,"UC0829_3: Desarrollar proyectos de instalaciones eléctricas de baja tensión en el entorno de edificios de viviendas, industrias, oficinas y locales de pública concurrencia.
UC0830_3: Desarrollar proyectos de instalaciones eléctricas de baja tensión en locales de características especiales e instalaciones con fines especiales.
UC0834_3 Desarrollar proyectos de instalaciones de alumbrado exterior.","0524. Configuración de instalaciones eléctricas.
0523. Configuración instalaciones domóticas y automáticas.
0519. Documentación técnica en instalaciones eléctricas."
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas Electrotécnicos y Automatizados,"UC0831_3: Desarrollar proyectos de redes eléctricas de baja tensión.
UC0833_3 Desarrollar proyectos de instalaciones eléctricas de centros de transformación.",0522. Desarrollo de redes eléctricas y centros de transformación.
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos,"UC1184_3: Organizar y gestionar el montaje de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios.
UC1186_3: Organizar y gestionar el mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios.",0601. Gestión de proyectos de instalaciones de telecomunicaciones.
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos,"UC1580_3: Gestionar y supervisar el montaje de sistemas de transmisión para radio y televisión en instalaciones fijas y unidades móviles.
UC1581_3: Gestionar y supervisar el mantenimiento de sistemas de transmisión para radio y televisión en instalaciones fijas y unidades móviles.",0556. Sistemas de radiocomunicaciones.
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos,"UC1185_3: Supervisar el montaje de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios.
UC1187_3: Supervisar el mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios.","0552. Sistemas informáticos y redes locales.
0553. Técnicas y procesos en infraestructuras de telecomunicaciones.
0713. Sistemas de telefonía fija y móvil."
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos,"UC1578_3: Gestionar y supervisar el montaje de sistemas de producción audiovisual en estudios y unidades móviles.
UC1579_3: Gestionar y supervisar el mantenimiento de sistemas de producción audiovisual en estudios y unidades móviles.",0554. Sistemas de producción audiovisual.
Electricidad y Electrónica,CFGS,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos,"UC0826_3: Desarrollar proyectos de instalaciones de telecomunicación para la recepción y distribución de señales de radio y televisión en el entorno de edificios.
UC0827_3 Desarrollar proyectos de instalaciones de telefonía en el entorno de edificios.
UC0828_3: Desarrollar proyectos de infraestructuras de redes de voz y datos en el entorno de edificios.","0525. Configuración de infraestructuras de sistemas de telecomunicaciones.
0601. Gestión de proyectos de instalaciones de telecomunicaciones."
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,"UC0607_2: Montar redes de distribución de agua y saneamiento.
UC0608_2: Poner en servicio y operar redes de distribución de agua y saneamiento.","1562. Técnicas de mecanizado y unión.
1563. Montaje y puesta en servicio de redes."
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,UC0073_2: Operar los procesos de tratamiento y depuración del agua.,"1560. Estaciones de tratamiento de aguas.
1564. Calidad del agua."
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,"UC1929_2: Ejecutar pavimentos de urbanización.
UC2327_2: Realizar las funciones de nivel básico para la prevención de riesgos en construcción.",1565. Construcción en redes y estaciones de tratamiento de agua.
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,"UC0074_2: Realizar las operaciones de mantenimiento de equipos e instalaciones de plantas de tratamiento o depuración del agua.
UC2519_2: Realizar las funciones de nivel básico para la prevención de riesgos laborales.",1566. Mantenimiento de equipos e instalaciones.
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,UC0606_2: Replantear redes de distribución de agua y saneamiento.,1567. Hidráulica y redes de agua.
Energía y Agua,CFGM,Técnico en Redes y Estaciones de Tratamiento de Aguas,UC0609_2: Mantener redes de distribución de agua y saneamiento.,1568. Mantenimiento de redes.
Energía y Agua,CFGS,Técnico Superior en Centrales Eléctricas,"UC1531_3: Gestionar el montaje de subestaciones eléctricas.
UC1532_3: Supervisar la operación y el mantenimiento de subestaciones eléctricas.
UC1533_2: Ejecutar operaciones de mantenimiento en subestaciones eléctricas.","0669. Subestaciones eléctricas.
0670. Telecontrol y automatismos."
Energía y Agua,CFGS,Técnico Superior en Centrales Eléctricas,"UC1531_3: Gestionar el montaje de subestaciones eléctricas.
UC2519_2: Realizar las funciones de nivel básico para la prevención de riesgos laborales",0671. Prevención de riesgos eléctricos.
Energía y Agua,CFGS,Técnico Superior en Centrales Eléctricas,"UC1198_3: Supervisar los procesos en la operación de centrales termoeléctricas en régimen estable.
UC1199_3: Controlar las maniobras de operación en centrales termoeléctricas durante los procesos de arranque, parada y en situaciones anómalas de funcionamiento.
UC1528_3: Operar desde el centro de control las centrales hidroeléctricas.","0672. Centrales de producción eléctrica.
0673. Operación en centrales eléctricas."
Energía y Agua,CFGS,Técnico Superior en Centrales Eléctricas,"UC1201_2: Operar en planta y realizar el mantenimiento de primer nivel de centrales termoeléctricas.
UC1529_2: Operar en planta y realizar el mantenimiento de primer nivel de centrales hidroeléctricas.
UC1527_3: Controlar en planta la operación y el mantenimiento de centrales hidroeléctricas.","0670. Telecontrol y automatismos.
0674. Mantenimientos de centrales eléctricas."
Energía y Agua,CFGS,Técnico Superior en Centrales Eléctricas,UC1200_3: Coordinar y preparar el equipo humano implicado en el área de operación de las centrales eléctricas.,0675. Coordinación de equipos humanos.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC1194_3: Evaluar la eficiencia energética de las instalaciones de edificios.,0349. Eficiencia energética de instalaciones.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC1195_3: Colaborar en el proceso de certificación energética de edificios.,0350. Certificación energética de edificios.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC1196_3: Gestionar el uso eficiente del agua en edificación.,0351. Gestión eficiente del agua en edificación.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC1197_3: Promover el uso eficiente de la energía.,0354. Promoción del uso eficiente de la energía y del agua.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC0842_3: Determinar la viabilidad de proyectos de instalaciones solares. UC0846_3: Desarrollar proyectos de instalaciones solares térmicas.,0352. Configuración de instalaciones solares térmicas.
Energía y Agua,CFGS,Técnico Superior en Eficiencia Energética y Energía Solar Térmica,UC0847_3: Organizar y controlar el montaje de instalaciones solares térmicas. UC0848_3: Organizar y controlar el mantenimiento de instalaciones solares térmicas.,0353. Gestión del montaje y mantenimiento de instalaciones solares térmicas.
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC1531_3: Gestionar el montaje de subestaciones eléctricas.
UC1532_3: Supervisar la operación y el mantenimiento de subestaciones eléctricas.
UC1533_2: Ejecutar operaciones de mantenimiento en subestaciones eléctricas.","0669. Subestaciones eléctricas.
0670. Telecontrol y automatismos."
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC1531_3: Gestionar el montaje de subestaciones eléctricas.
UC1530_2: Prevenir riesgos en instalaciones eléctricas de alta tensión.",0671. Prevención de riesgos eléctricos.
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC0842_3: Determinar la viabilidad de proyectos de instalaciones solares.
UC0843_3: Desarrollar proyectos de instalaciones solares fotovoltaicas.",0681. Configuración de instalaciones solares fotovoltaicas.
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC0844_3: Organizar y controlar el montaje de instalaciones solares fotovoltaicas.
UC0845_3: Organizar y controlar el mantenimiento de instalaciones solares fotovoltaicas.","0682. Gestión del montaje de instalaciones solares fotovoltaicas.
0670. Telecontrol y automatismos."
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC0615_3: Desarrollar proyectos de montaje de instalaciones de energía eólica.
UC2519_2: Realizar las funciones de nivel básico para la prevención de riesgos laborales.
UC2723_2: Montar instalaciones de energía eólica.
UC2724_2: Mantener instalaciones de energía eólica.",0683. Gestión del montaje de parques eólicos.
Energía y Agua,CFGS,Técnico Superior en Energías Renovables,"UC0616_3: Gestionar la puesta en servicio y operación de instalaciones de energía eólica.
UC0617_3: Gestionar el mantenimiento de instalaciones de energía eólica.
UC2519_2: Realizar las funciones de nivel básico para la prevención de riesgos laborales.",0684. Operación y mantenimiento de parques eólicos.
Energía y Agua,CFGS,Técnico Superior en Gestión del Agua,UC0838_3: Colaborar en la planificación de la ejecución de obras de redes e instalaciones de abastecimiento y distribución de agua y saneamiento.,"1572. Planificación y replanteo.
1579. Gestión de operaciones, calidad y medioambiente."
Energía y Agua,CFGS,Técnico Superior en Gestión del Agua,"UC0839_3: Controlar el desarrollo de obras de redes e instalaciones de abastecimiento y distribución de agua y saneamiento.
UC0840_3: Supervisar la puesta en servicio de redes e instalaciones de abastecimiento y distribución de agua y saneamiento.
UC0841_3: Organizar el mantenimiento de instalaciones de abastecimiento y distribución de agua y saneamiento.","1578. Operaciones en redes e instalaciones de agua.
1580. Técnicas de montaje en instalaciones de agua.
1575. Configuración de redes de agua."
Energía y Agua,CFGS,Técnico Superior en Gestión del Agua,"UC2204_3: Realizar diagnóstico y propuestas de mejora de redes e instalaciones de agua.
UC2205_3: Realizar diagnóstico y propuestas de optimización energética en redes e instalaciones de agua.",1574. Gestión eficiente del agua.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,"UC0588_2: Elaborar moldes y machos para el proceso de fundición.
UC0333_2: Construir y acondicionar modelos y moldes para polímeros termoestables.",0723. Elaboración de moldes y modelos.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,"UC0325_2: Elaborar mezclas de caucho y látex.
UC0329_2: Acondicionar los materiales termoplásticos para su transformación.",0726. Preparación de materias primas.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,UC0587_2: Preparar máquinas e instalaciones de procesos automáticos de fundición.,0722. Preparación de máquinas e instalaciones de procesos automáticos.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,UC0326_2: Preparar máquinas e instalaciones para la transformación de polímeros.,0722. Preparación de máquinas e instalaciones de procesos automáticos.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,UC0586_2: Preparar equipos y realizar la fusión y colada.,0724. Conformado por moldeo cerrado.
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,"UC0330_2: Realizar las operaciones de transformación de termoplásticos.
UC0331_2: Realizar las operaciones de acabado de los transformados poliméricos.
UC0332_2: Conducir la transformación de materiales compuestos de matriz polimérica y termoestables.","0724. Conformado por moldeo cerrado.
0725. Conformado por moldeo abierto."
Fabricación Mecánica,CFGM,Técnico en Conformado por Moldeo de Metales y Polímeros,"UC0328_2: Realizar operaciones auxiliares y de acabado de los transformados de caucho y látex.
UC0327_2: Realizar operaciones de transformación de caucho y látex.",0725. Conformado por moldeo abierto.
Fabricación Mecánica,CFGM,Técnico en Mecanizado,UC0089_2: Determinar los procesos de mecanizado por arranque de viruta.,0001 Procesos de mecanizado
Fabricación Mecánica,CFGM,Técnico en Mecanizado,"UC0092_2: Determinar los procesos de mecanizado por abrasión, electroerosión y procedimientos especiales.",0001 Procesos de mecanizado
Fabricación Mecánica,CFGM,Técnico en Mecanizado,UC0095_2: Determinar los procesos de mecanizado por corte y conformado,0001 Procesos de mecanizado
Fabricación Mecánica,CFGM,Técnico en Mecanizado,UC0090_2: Preparar máquinas y sistemas para proceder al mecanizado por arranque de viruta.,0005 Sistemas automatizados
Fabricación Mecánica,CFGM,Técnico en Mecanizado,"UC0093_2: Preparar máquinas y sistemas para proceder al mecanizado por abrasión, electroerosión y procedimientos especiales.",0005 Sistemas automatizados
Fabricación Mecánica,CFGM,Técnico en Mecanizado,UC0096_2: Preparar y programar máquinas y sistemas para proceder al mecanizado por corte y conformado.,0005 Sistemas automatizados
Fabricación Mecánica,CFGM,Técnico en Mecanizado,UC0091_2: Mecanizar los productos por arranque de viruta.,0004 Fabricación por arranque de viruta
Fabricación Mecánica,CFGM,Técnico en Mecanizado,"UC0094_2: Mecanizar los productos por abrasión, electroerosión y procedimientos especiales.
UC0097_2: Mecanizar los productos por corte,
conformado y procedimientos especiales afines. ","0003 Fabricación por abrasión, electroerosión, corte y conformado, y por procesos especiales"
Fabricación Mecánica,CFGM,Técnico en Mecanizado,"UC0090_2: Preparar máquinas y sistemas para proceder al mecanizado por arranque de viruta.
UC0091_2: Mecanizar los productos por arranque de viruta.
UC0093_2: Preparar máquinas y sistemas para proceder al mecanizado por abrasión, electroerosión y procedimientos especiales.
UC0094_2: Mecanizar los productos por abrasión, electroerosión y procedimientos especiales.
UC0096_2: Preparar y programar máquinas y sistemas para proceder al mecanizado por corte y conformado.
UC0097_2: Mecanizar los productos por corte, conformado y procedimientos especiales afines.",0002 Mecanizado por control numérico
Fabricación Mecánica,CFGM,Técnico en Montaje de Estructuras e Instalación de Sistemas Aeronáuticos,"UC1850_2: Montar estructuras de aeronaves.
UC1851_2: Sellar elementos estructurales de aeronaves.
UC2814_2: Montar sistemas y equipos eléctricos, electrónicos y aviónicos de aeronaves.
UC2815_2: Montar sistemas y equipos mecánicos y de fluidos de aeronaves.
UC0122_2: Realizar la preparación, protección e igualación de superficies de vehículos.
UC0123_2: Efectuar el embellecimiento de superficies.","0801. Montaje estructural aeronáutico.
1445. Preparación y sellado de superficies.
1601. Sistemas de distribución de corriente, telecomunicaciones y aviónica.
1602. Sistemas de mandos de vuelo, trenes de aterrizaje y de propulsión.
1600. Protección y pintado de aeronaves."
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,"UC1139_2: Preparar, trazar y marcar chapas y perfiles metálicos.",0091. Trazado corte y conformado.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,UC1142_2: Trazar y mecanizar tubería.,0091. Trazado corte y conformado.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,UC1143_2: Conformar y armar tubería.,0091. Trazado corte y conformado.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,"UC1140_2: Cortar, mecanizar y conformar chapas y perfiles.",0092. Mecanizado.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,"UC2312_2: Realizar las operaciones previas de preparación al soldeo con electrodo.
UC2316_2: Ejecutar las operaciones de soldeo por arco con electrodo revestido.
UC2314_2: Realizar las operaciones de comprobación y mejora postsoldeo al soldeo con electrodo.",0093. Soldadura en atmósfera natural.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,"UC2312_2: Realizar las operaciones previas de preparación al soldeo con electrodo.
UC2315_2: Ejecutar las operaciones de soldeo por arco bajo gas protector con electrodo no consumible, soldeo ""TIG"".
UC2314_2: Realizar las operaciones de comprobación y mejora postsoldeo al soldeo con electrodo.
UC2313_2: Ejecutar las operaciones de soldeo por arco bajo gas protector con electrodo consumible, soldeo ""MIG/MAG"".",0094. Soldadura en atmósfera protegida.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,UC1141_2: Montar elementos y conjuntos de obras de calderería y estructuras metálicas.,0095. Montaje.
Fabricación Mecánica,CFGM,Técnico en Soldadura y Calderería,UC1144_2: Montar instalaciones de tubería.,0095. Montaje.
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,UC1148_3: Elaborar la documentación técnica de los productos de construcciones metálicas.,0245. Representación gráfica en fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,"UC1151_3: Definir procesos de trazado, mecanizado y conformado en construcciones metálicas. UC1152_3: Definir procesos de unión y montaje en construcciones metálicas.",0247. Definición de procesos de construcciones metálicas.
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,UC1153_3: Programar sistemas automatizados en construcciones metálicas.,0162. Programación de sistemas automáticos de fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,UC1267_3: Programar y controlar la producción en fabricación mecánica. UC1268_3: Aprovisionar los procesos productivos de fabricación mecánica.,0163. Programación de la producción.
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,UC0592_3: Supervisar la producción en fabricación mecánica.,"0248 Procesos de mecanizado, corte y conformado en construcciones metálicas.
0249 Procesos de unión y montaje en construcciones metálicas.
0163. Programación de la producción."
Fabricación Mecánica,CFGS,Técnico Superior en Construcciones Metálicas,UC1145_3: Diseñar productos de calderería. UC1146_3 : Diseñar productos de estructuras metálicas. UC1147_3: Realizar cálculos y planes de prueba en calderería y estructuras metálicas. UC1149_3: Diseñar esquemas de tubería industrial.,0246. Diseño de construcciones metálicas.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,UC0105_3: Diseñar productos de fabricación mecánica.,0427. Diseño de productos mecánicos.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,"UC0106_3: Automatizar los productos de fabricación mecánica.
UC0109_3: Automatizar los procesos operativos de los útiles de procesado de chapa.
UC0112_3: Automatizar los procesos operativos del molde.",0431. Automatización de la fabricación.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,"UC0107_3: Elaborar la documentación técnica de los productos de fabricación mecánica.
UC0110_3: Elaborar la documentación técnica del útil.
UC0113_3: Elaborar la documentación técnica del molde o modelo.",0245. Representación gráfica en fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,UC0108_3: Diseñar útiles para el procesado de chapa.,0428. Diseño de útiles de procesado de chapa y estampación.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,UC0111_3: Diseñar moldes y modelos para el proceso de fundición o forja.,0429. Diseño de moldes y modelos de fundición.
Fabricación Mecánica,CFGS,Técnico Superior en Diseño en Fabricación Mecánica,"UC0780_3: Participar en el diseño, verificación y optimización de moldes y utillajes para la transformación de polímeros.
UC0784_3: Diseñar y construir moldes y modelos de resina para la transformación de termoestables y materiales compuestos de matriz polimérica.",0430. Diseño de moldes para productos poliméricos.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0593_3: Definir procesos de mecanizado en fabricación mecánica.,"0160. Definición de procesos de mecanizado, conformado y montaje."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0594_3: Definir procesos de conformado en fabricación mecánica.,"0160. Definición de procesos de mecanizado, conformado y montaje."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0595_3: Definir procesos de montaje en fabricación mecánica.,"0160. Definición de procesos de mecanizado, conformado y montaje."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0596_3: Programar el control numérico computerizado (CNC) en máquinas o sistemas de mecanizado y conformado mecánico.,"0002. Mecanizado por Control Numérico.
0161. Fabricación asistida por ordenador (CAM)."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0591_3: Programar sistemas automatizados en fabricación mecánica.,0162. Programación de sistemas automáticos de fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC0592_3: Supervisar la producción en fabricación mecánica.,0164. Ejecución de procesos de fabricación.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Fabricación Mecánica,UC1267_3: Programar y controlar la producción en fabricación mecánica. UC1268_3: Aprovisionar los procesos productivos de fabricación mecánica.,0163. Programación de la producción.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,"UC0589_3: Definir procesos operacionales de fundición.
UC0590_3: Definir procesos operacionales de pulvimetalurgia.
UC0592_3: Supervisar la producción en fabricación mecánica.",0531. Moldeo cerrado.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,"UC0780_3: Participar en el diseño, verificación y optimización de moldes y utillajes para la transformación de polímeros.
UC0786_3: Coordinar y controlar la transformación de materiales termoplásticos.
UC783_3: Coordinar y controlar la transformación de termoestables y materiales compuestos de matriz polimérica.","0531. Moldeo cerrado.
0532. Moldeo abierto.
0163. Programación de la producción."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,"UC0780_3: Participar en el diseño, verificación y optimización de moldes y utillajes para la transformación de polímeros.
UC783_3: Coordinar y controlar la transformación de termoestables y materiales compuestos de matriz polimérica.
UC0785_3: Coordinar y controlar las operaciones complementarias, de acabado y la calidad de materiales y productos de termoplásticos y termoestables.","0531. Moldeo cerrado.
0532. Moldeo abierto.
0163. Programación de la producción."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,"UC0779_3: Coordinar y controlar la elaboración y transformación de mezclas de caucho y látex.
UC0782_3: Coordinar y controlar las operaciones complementarias, de acabado y la calidad de materiales y productos de caucho.","0532. Moldeo abierto.
0163. Programación de la producción."
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,UC0591_3: Programar sistemas automatizados en fabricación mecánica.,0162 Programación de sistemas automáticos de fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,UC0781_3: Verificar el estado y funcionamiento de máquinas e instalaciones del proceso de transformación de polímeros y de sus servicios auxiliares.,0162 Programación de sistemas automáticos de fabricación mecánica.
Fabricación Mecánica,CFGS,Técnico Superior en Programación de la Producción en Moldeo de Metales y Polímeros,"UC1267_3: Programar y controlar la producción en fabricación mecánica.
UC1268_3: Aprovisionar los procesos productivos de fabricación mecánica.
UC0778_3: Organizar la producción en industrias de transformación de polímeros.",0163. Programación de la producción.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,"UC0259_2: Definir ofertas gastronómicas sencillas, realizar el aprovisionamiento y controlar consumos.",0045. Ofertas gastronómicas.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,"UC0709_2: Definir ofertas sencillas de repostería, realizar el aprovisionamiento interno y controlar consumos.",0045. Ofertas gastronómicas.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,UC0260_2: Preelaboración y conservación de alimentos.,0046. Preelaboración y conservación de alimentos.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,UC2816_2: Desarrollar técnicas culinarias y presentación de ofertas gastronómicas en cocina,0047. Técnicas culinarias.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,"UC0306_2: Realizar operaciones de elaboración de masas, pastas y productos básicos de múltiples aplicaciones para pastelería y repostería.",0026. Procesos básicos de pastelería y repostería.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,"UC0710_2: Elaborar y presentar productos hechos a base de masas y pastas, postres de cocina y helados.",0028. Postres en restauración.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,UC2816_2: Desarrollar técnicas culinarias y presentación de ofertas gastronómicas en cocina.,0048. Productos culinarios.
Hostelería y Turismo,CFGM,Técnico en Cocina y Gastronomía,"UC0711_2: Actuar bajo normas de seguridad, higiene y protección ambiental en hostelería.",0031. Seguridad e higiene en la manipulación de alimentos.
Hostelería y Turismo,CFGM,Técnico en Comercialización de Productos Alimentarios,UC2104_2: Impulsar y gestionar un pequeño comercio de calidad.,1606. Constitución de pequeños negocios alimentarios.
Hostelería y Turismo,CFGM,Técnico en Comercialización de Productos Alimentarios,"UC0239_2: Realizar la venta de productos y/o servicios a través de los diferentes canales de comercialización.
UC0241_2: Ejecutar las acciones de servicio de atención al cliente, consumidor y usuario.",1609. Atención comercial en negocios alimentarios.
Hostelería y Turismo,CFGM,Técnico en Comercialización de Productos Alimentarios,UC0260_2: Preelaborar y conservar toda clase de alimentos.,1611. Preparación y acondicionamiento de productos frescos y transformados.
Hostelería y Turismo,CFGM,Técnico en Comercialización de Productos Alimentarios,"UC2106_2: Garantizar la capacidad de respuesta y abastecimiento del pequeño comercio.
UC1015_2: Gestionar y coordinar las operaciones de almacén.
UC2519_2: Realizar las funciones de nivel básico para la prevención de riesgos laborales.",1612. Logística de productos alimentarios.
Hostelería y Turismo,CFGM,Técnico en Servicios en Restauración,"UC2298_2: Desarrollar el proceso del servicio de alimentos y bebidas en barra y mesa.
UC2300_2: Confeccionar elaboraciones culinarias sencillas y elaborar platos a la vista del cliente.
UC1054_2: Disponer todo tipo de servicios especiales en restauración.","0151. Operaciones básicas en restaurante.
0153. Servicios en restaurante y eventos especiales."
Hostelería y Turismo,CFGM,Técnico en Servicios en Restauración,"UC2298_2: Desarrollar el proceso del servicio de alimentos y bebidas en barra y mesa.
UC2299_2: Preparar y servir bebidas distintas a vinos.
UC2300_2: Confeccionar elaboraciones culinarias sencillas y elaborar platos a la vista del cliente.","0150. Operaciones básicas en bar-cafetería.
0152. Servicios en bar-cafetería."
Hostelería y Turismo,CFGM,Técnico en Servicios en Restauración,UC1048_2: Servir vinos y prestar información básica sobre los mismos.,0154. El vino y su servicio.
Hostelería y Turismo,CFGM,Técnico en Servicios en Restauración,"UC0259_2: Definir ofertas gastronómicas sencillas, realizar el aprovisionamiento y controlar consumos.",0045. Ofertas gastronómicas.
